1d,7d
42641.6164,42546.5515
43879.0732,42766.5153
45253.7991,43534.9448
46243.752,45002.7022
47954.516,46894.9838
49174.8372,48158.465
48239.3756,47434.9343
48653.7356,48000.363
48865.5679,48106.5921
49139.3862,48236.7101
49114.9007,47776.4061
49282.6926,48428.7619
49228.3666,48527.7713
49601.8875,48580.7181
49074.8245,48725.2553
47480.8035,47262.6186
46358.1185,45939.5342
45265.172,44417.8222
44502.6777,43542.6132
45166.6216,43894.1092
43875.397,43490.259
42800.6994,42764.4506
42264.0123,41646.4065
43078.7825,42912.7409
43176.0421,42393.3738
43806.1807,42954.3435
44630.1624,44521.7288
46265.738,45411.0563
47455.6984,46549.5254
48409.6867,47555.3299
48104.3625,47725.8685
48593.69,48204.2337
48642.2548,48507.7096
48869.8081,48674.1004
49136.979,48643.0351
49323.7566,48685.3867
49389.1322,48540.2806
49820.6097,48923.5469
49673.3601,49380.1922
46975.9483,48319.5995
46397.6075,47273.5513
45792.8314,46306.3136
44183.1046,44672.5354
44567.1673,44610.4401
44172.2499,44100.0853
43808.441,43641.7403
42774.6409,42960.5217
43678.4974,44009.9806
43899.3819,44093.6849
44248.9671,44033.2184
45332.0084,44905.0268
45560.6691,46090.4611
47112.0955,47395.4839
48642.4786,48138.7619
48023.8807,47757.2408
48708.9846,48474.1966
48896.2069,48724.3146
48926.29,48916.7844
49165.2957,49209.5134
49703.0074,49446.0755
49412.9747,49310.2807
49310.6796,49507.3539
49663.2315,50167.7158
47928.5161,49284.8782
45955.1382,47480.0684
44424.1306,46203.2886
43421.4605,45415.6548
43881.382,44999.1676
43145.5042,44628.4239
42706.413,44239.1345
42419.4077,43465.4716
42526.0475,43770.519
42648.1027,43448.7521
43319.7147,44093.5647
45074.1427,44996.3898
46090.2403,45614.3899
47316.7869,46261.7722
48047.2215,47024.2414
47656.3535,47097.0868
48263.9251,47744.1889
48225.7633,48136.8375
48457.9213,48339.1947
48671.901,48614.0046
48548.9052,49197.131
48825.1604,49428.4056
49196.5009,49339.4405
48990.5427,49495.3262
47280.3095,49743.4112
45929.6306,49906.5917
45401.6244,49640.5872
43839.9002,49166.7938
44149.4794,47700.4887
43619.002,47263.442
43323.6855,46781.7307
43125.0625,46073.9017
43811.5129,45732.4387
43696.8942,45076.6053
43344.8826,44933.8736
44313.7963,45152.2984
45045.5595,45891.0557
46375.9269,46962.7529
47420.1435,47484.6087
46915.6203,46759.2372
47789.006,47742.7332
46675.8239,48003.7601
47269.2181,48159.4686
47609.2225,48379.1298
47616.3793,48634.0916
47632.4385,48969.9433
47371.4829,48848.9506
47630.9992,49100.7428
47091.1674,49541.5105
46632.2506,49279.3906
45962.3842,48919.539
45193.2274,48466.1182
44906.979,48364.0877
43475.3134,47430.4251
42387.1138,46803.1625
42222.128,46380.2632
41848.3771,45828.5276
40961.0592,45559.4933
41242.9917,46483.3797
41323.2471,46920.2333
42012.3896,47588.0659
42975.5542,48419.9006
42942.3619,48952.5772
43997.6523,48282.9007
45079.8722,48629.398
45455.9235,48932.5539
45264.3452,48788.4294
45580.8494,48980.6415
45885.1824,49014.2843
46376.9004,49102.8251
46339.5511,49073.1706
46149.7684,49968.0002
45898.06,47826.1826
45614.5213,45569.4863
45136.6841,44478.1293
44264.7847,43703.6925
44291.1603,44367.4062
43238.2451,42978.4206
43221.8899,42786.2347
42668.9801,42113.3531
42133.6578,42557.0591
42334.2506,42641.6164
42083.4818,43879.0732
42680.5345,45253.7991
43480.6319,46243.752
44125.5792,47954.516
45025.9702,49174.8372
45888.2034,48239.3756
46113.9454,48653.7356
46318.2425,48865.5679
46293.8895,49139.3862
46472.809,49114.9007
46695.2094,49282.6926
46746.6729,49228.3666
46836.0121,49601.8875
47343.3009,49074.8245
45057.4138,47480.8035
43439.6716,46358.1185
42381.2354,45265.172
41523.1428,44502.6777
41535.1513,45166.6216
40996.2368,43875.397
40528.4988,42800.6994
39924.1607,42264.0123
39866.6378,43078.7825
39535.2605,43176.0421
39852.9672,43806.1807
40598.288,44630.1624
41812.1242,46265.738
42899.6144,47455.6984
44581.4912,48409.6867
45594.2704,48104.3625
46130.6997,48593.69
44489.6405,48642.2548
43763.1229,48869.8081
45417.2782,49136.979
44034.3391,49323.7566
44158.5867,49389.1322
44238.4977,49820.6097
45314.8939,49673.3601
43169.6025,46975.9483
42853.8896,46397.6075
41718.7986,45792.8314
41256.4243,44183.1046
40430.2249,44567.1673
39310.7177,44172.2499
38871.5534,43808.441
38153.7382,42774.6409
38058.9768,43678.4974
37757.1369,43899.3819
38406.2445,44248.9671
40009.6705,45332.0084
40836.7316,45560.6691
41991.8596,47112.0955
43130.4285,48642.4786
45641.1111,48023.8807
47108.705,48708.9846
