,연도,월,요일,노선명,전염병,승하차총승객수
842,2015,6,3,9,1,2220695.0
857,2015,6,4,1,1,2213560.0
858,2015,6,4,2,1,13026487.0
859,2015,6,4,3,1,4474582.0
860,2015,6,4,4,1,5005396.0
861,2015,6,4,5,1,5021390.0
862,2015,6,4,6,1,2950232.0
863,2015,6,4,7,1,6103667.0
864,2015,6,4,8,1,1370289.0
865,2015,6,4,9,1,2151905.0
880,2015,6,5,1,1,2215662.0
881,2015,6,5,2,1,13028293.0
882,2015,6,5,3,1,4502324.0
883,2015,6,5,4,1,5040342.0
884,2015,6,5,5,1,5075458.0
885,2015,6,5,6,1,2981062.0
886,2015,6,5,7,1,6166178.0
887,2015,6,5,8,1,1382829.0
888,2015,6,5,9,1,2153008.0
903,2015,6,6,1,1,2795983.0
904,2015,6,6,2,1,16279770.0
905,2015,6,6,3,1,5657633.0
906,2015,6,6,4,1,6286300.0
907,2015,6,6,5,1,6342579.0
908,2015,6,6,6,1,3701388.0
909,2015,6,6,7,1,7718928.0
910,2015,6,6,8,1,1720140.0
911,2015,6,6,9,1,2715930.0
926,2015,6,7,1,1,2801463.0
927,2015,6,7,2,1,16116500.0
928,2015,6,7,3,1,5632430.0
929,2015,6,7,4,1,6205230.0
930,2015,6,7,5,1,6296533.0
931,2015,6,7,6,1,3670549.0
932,2015,6,7,7,1,7714411.0
933,2015,6,7,8,1,1722156.0
934,2015,6,7,9,1,2711517.0
949,2015,7,1,1,1,1269001.0
950,2015,7,1,2,1,6996318.0
951,2015,7,1,3,1,2490722.0
952,2015,7,1,4,1,2827398.0
953,2015,7,1,5,1,2519598.0
954,2015,7,1,6,1,1586160.0
955,2015,7,1,7,1,3251578.0
956,2015,7,1,8,1,777407.0
957,2015,7,1,9,1,1155258.0
972,2015,7,2,1,1,1887140.0
973,2015,7,2,2,1,10122705.0
974,2015,7,2,3,1,3680977.0
975,2015,7,2,4,1,4073542.0
976,2015,7,2,5,1,3583331.0
977,2015,7,2,6,1,2238228.0
978,2015,7,2,7,1,4514353.0
979,2015,7,2,8,1,1063557.0
980,2015,7,2,9,1,1602277.0
995,2015,7,3,1,1,3117096.0
996,2015,7,3,2,1,17504451.0
997,2015,7,3,3,1,6142473.0
998,2015,7,3,4,1,6496452.0
999,2015,7,3,5,1,6499539.0
1000,2015,7,3,6,1,3731884.0
1001,2015,7,3,7,1,7837417.0
1002,2015,7,3,8,1,1764278.0
1003,2015,7,3,9,1,2944110.0
1018,2015,7,4,1,1,3001212.0
1019,2015,7,4,2,1,17096276.0
1020,2015,7,4,3,1,5882977.0
1021,2015,7,4,4,1,6334496.0
1022,2015,7,4,5,1,6457745.0
1023,2015,7,4,6,1,3623440.0
1024,2015,7,4,7,1,7708281.0
1025,2015,7,4,8,1,1741579.0
1026,2015,7,4,9,1,2839571.0
1041,2015,7,5,1,1,2953052.0
1042,2015,7,5,2,1,16852066.0
1043,2015,7,5,3,1,5828241.0
1044,2015,7,5,4,1,6288548.0
1045,2015,7,5,5,1,6443642.0
1046,2015,7,5,6,1,3619877.0
1047,2015,7,5,7,1,7699007.0
1048,2015,7,5,8,1,1740729.0
1049,2015,7,5,9,1,2812964.0
1064,2015,7,6,1,1,2406234.0
1065,2015,7,6,2,1,13550263.0
1066,2015,7,6,3,1,4700207.0
1067,2015,7,6,4,1,5059291.0
1068,2015,7,6,5,1,5182043.0
1069,2015,7,6,6,1,2892670.0
1070,2015,7,6,7,1,6198772.0
1071,2015,7,6,8,1,1399251.0
1072,2015,7,6,9,1,2271231.0
1087,2015,7,7,1,1,2360731.0
1088,2015,7,7,2,1,13154884.0
1089,2015,7,7,3,1,4588986.0
1090,2015,7,7,4,1,4863161.0
1091,2015,7,7,5,1,5053277.0
1092,2015,7,7,6,1,2819001.0
1093,2015,7,7,7,1,6095230.0
1094,2015,7,7,8,1,1363898.0
1095,2015,7,7,9,1,2220350.0
1110,2015,8,1,1,1,1748514.0
1111,2015,8,1,2,1,8983496.0
1112,2015,8,1,3,1,3267895.0
1113,2015,8,1,4,1,3698351.0
1114,2015,8,1,5,1,3307903.0
1115,2015,8,1,6,1,2028117.0
1116,2015,8,1,7,1,4187462.0
1117,2015,8,1,8,1,986309.0
1118,2015,8,1,9,1,1485322.0
1133,2015,8,2,1,1,2419837.0
1134,2015,8,2,2,1,12141161.0
1135,2015,8,2,3,1,4489405.0
1136,2015,8,2,4,1,5006445.0
1137,2015,8,2,5,1,4507871.0
1138,2015,8,2,6,1,2766569.0
1139,2015,8,2,7,1,5427458.0
1140,2015,8,2,8,1,1264093.0
1141,2015,8,2,9,1,1967218.0
1156,2015,8,3,1,1,2432715.0
1157,2015,8,3,2,1,13115320.0
1158,2015,8,3,3,1,4722908.0
1159,2015,8,3,4,1,5014040.0
1160,2015,8,3,5,1,4866531.0
1161,2015,8,3,6,1,2798361.0
1162,2015,8,3,7,1,5850343.0
1163,2015,8,3,8,1,1330717.0
1164,2015,8,3,9,1,2183756.0
1179,2015,8,4,1,1,2421963.0
1180,2015,8,4,2,1,13539720.0
1181,2015,8,4,3,1,4761275.0
1182,2015,8,4,4,1,5067341.0
1183,2015,8,4,5,1,5104260.0
1184,2015,8,4,6,1,2854206.0
1185,2015,8,4,7,1,6073725.0
1186,2015,8,4,8,1,1372327.0
1187,2015,8,4,9,1,2261269.0
1202,2015,8,5,1,1,2378097.0
1203,2015,8,5,2,1,13401605.0
1204,2015,8,5,3,1,4702589.0
1205,2015,8,5,4,1,5031474.0
1206,2015,8,5,5,1,5112423.0
1207,2015,8,5,6,1,2845377.0
1208,2015,8,5,7,1,6070148.0
1209,2015,8,5,8,1,1378698.0
1210,2015,8,5,9,1,2246624.0
1225,2015,8,6,1,1,2342694.0
1226,2015,8,6,2,1,13149595.0
1227,2015,8,6,3,1,4589627.0
1228,2015,8,6,4,1,4912912.0
1229,2015,8,6,5,1,5004738.0
1230,2015,8,6,6,1,2779244.0
1231,2015,8,6,7,1,5972491.0
1232,2015,8,6,8,1,1356904.0
1233,2015,8,6,9,1,2208972.0
1248,2015,8,7,1,1,2916626.0
1249,2015,8,7,2,1,16200676.0
1250,2015,8,7,3,1,5699656.0
1251,2015,8,7,4,1,6064761.0
1252,2015,8,7,5,1,6211827.0
1253,2015,8,7,6,1,3489305.0
1254,2015,8,7,7,1,7507056.0
1255,2015,8,7,8,1,1692924.0
1256,2015,8,7,9,1,2743754.0
1271,2015,9,1,1,1,1431766.0
1272,2015,9,1,2,1,6876328.0
1273,2015,9,1,3,1,2590892.0
1274,2015,9,1,4,1,3042962.0
1275,2015,9,1,5,1,2653147.0
1276,2015,9,1,6,1,1680449.0
1277,2015,9,1,7,1,3369562.0
1278,2015,9,1,8,1,762201.0
1279,2015,9,1,9,1,1168507.0
1294,2015,9,2,1,1,1973606.0
1295,2015,9,2,2,1,9625453.0
1296,2015,9,2,3,1,3625581.0
1297,2015,9,2,4,1,4045507.0
1298,2015,9,2,5,1,3577822.0
1299,2015,9,2,6,1,2265470.0
1300,2015,9,2,7,1,4403472.0
1301,2015,9,2,8,1,1008939.0
1302,2015,9,2,9,1,1601772.0
1317,2015,9,3,1,1,2622026.0
1318,2015,9,3,2,1,14602797.0
1319,2015,9,3,3,1,5216095.0
1320,2015,9,3,4,1,5653491.0
1321,2015,9,3,5,1,5471008.0
1322,2015,9,3,6,1,3241427.0
1323,2015,9,3,7,1,6675155.0
1324,2015,9,3,8,1,1570460.0
1325,2015,9,3,9,1,2467410.0
1340,2015,9,4,1,1,2498220.0
1341,2015,9,4,2,1,14090688.0
1342,2015,9,4,3,1,4999867.0
1343,2015,9,4,4,1,5536224.0
1344,2015,9,4,5,1,5394106.0
1345,2015,9,4,6,1,3189800.0
1346,2015,9,4,7,1,6582321.0
1347,2015,9,4,8,1,1495621.0
1348,2015,9,4,9,1,2363165.0
1363,2015,9,5,1,1,3063033.0
1364,2015,9,5,2,1,17289818.0
1365,2015,9,5,3,1,6120926.0
1366,2015,9,5,4,1,6821539.0
1367,2015,9,5,5,1,6732597.0
1368,2015,9,5,6,1,3944821.0
1369,2015,9,5,7,1,8174389.0
1370,2015,9,5,8,1,1849644.0
1371,2015,9,5,9,1,2892696.0
1386,2015,9,6,1,1,2852985.0
1387,2015,9,6,2,1,15681861.0
1388,2015,9,6,3,1,5620787.0
1389,2015,9,6,4,1,6248614.0
1390,2015,9,6,5,1,6065415.0
1391,2015,9,6,6,1,3605028.0
1392,2015,9,6,7,1,7450799.0
1393,2015,9,6,8,1,1690826.0
1394,2015,9,6,9,1,2641846.0
1409,2015,9,7,1,1,2188187.0
1410,2015,9,7,2,1,11743289.0
1411,2015,9,7,3,1,4214262.0
